tag,class,text_preview,is_valid,type
li,menu__item,165hz,,
li,menu__item,180hz,,
li,menu__item,185hz,,
li,menu__item,60hz,,
li,menu__item,75hz,,
li,menu__item,Fundas Y Maletines,,
div,address-card__badge,Info,,
div,footer-contacts__text,Tienda de Computacion,,
ul,footer-links__list,Pc Armadas Con Monitor,,
li,footer-links__item,Pc Armadas Sin Monitor,,
a,menu__item-link,Pc Gamer - Diseño,,
div,departments__submenu departments__submenu--type--menu,Almacenamiento Externo,,
a,menu__item-link,Discos Externos,,
a,menu__item-link,Memorias Micro SD,,
a,menu__item-link,Pen Drive,,
a,menu__item-link,Discos SSD Solidos,,
a,menu__item-link,Combo Actualizacion (Micro+Mother),,
a,menu__item-link,Cooler de Micros y Gabinetes,,
a,menu__item-link,Discos Mecanicos SATA,,
a,menu__item-link,Fuentes de PC,,
a,menu__item-link,Memorias RAM Notebooks,,
a,menu__item-link,Memorias RAM PC,,
a,menu__item-link,MicroProcesadores,,
a,menu__item-link,Motherboard,,
div,departments__submenu departments__submenu--type--menu,Impresion,,
a,menu__item-link,Impresoras Sistema Continuo Tinta,,
a,menu__item-link,Toner,Tintas y Cartuchos,
a,menu__item-link,Monitores Led,,
div,departments__submenu departments__submenu--type--menu,Perifericos y Accesorios,,
a,menu__item-link,Bases de Notebook,,
a,menu__item-link,Camaras Web - WEBCAM,,
a,menu__item-link,Cargadores de Celulares y Portatiles,,
a,menu__item-link,Estabilizadores - UPS - Protectores,,
a,menu__item-link,Fundas - Mochilas Notebook,,
a,menu__item-link,Grasas - Pasta Termica Disipadora,,
a,menu__item-link,HUB USB,,
a,menu__item-link,Joystick de PC y Consolas,,
a,menu__item-link,MOUSE USB - GAMER,,
a,menu__item-link,Mouse y Teclados INALAMBRICOS,,
a,menu__item-link,PAD de MOUSE,,
a,menu__item-link,TECLADOS USB - GAMER,,
a,menu__item-link,Varios,,
a,menu__item-link,Cables de Red,,
a,menu__item-link,Placas Red Wifi - Cable - Switch,,
a,menu__item-link,Router-Modem-Extensor WI-FI,,
div,departments__submenu departments__submenu--type--menu,Seguridad,,
a,menu__item-link,Camaras IP WIFI,,
a,menu__item-link,Kit Camaras de Seguridad,,
div,departments__submenu departments__submenu--type--menu,Tv Box - Relojes Digitales,,
a,menu__item-link,Celulares y Relojes,,
a,menu__item-link,Tv Box - Chromecast Smart Tv,,
div,departments__submenu departments__submenu--type--menu,USADOS,,
a,menu__item-link,Cargadores de Notebook - USADO,,
a,menu__item-link,Computadoras USADAS,,
a,menu__item-link,Discos Pc y Notebook - USADAS,,
a,menu__item-link,Gabinetes - USADOS,,
a,menu__item-link,Monitores - USADOS,,
a,menu__item-link,Placas de Video - USADO,,
a,menu__item-link,Procesadores - USADOS,,
div,menu menu--layout--classic,ACER,,
li,menu__item,ADATA,,
li,menu__item,AeroCool,,
li,menu__item,AMD,,
li,menu__item,ANTEC,,
li,menu__item,ARCTIC,,
li,menu__item,ASROCK,,
li,menu__item,ASUS,,
li,menu__item,AUREOX,,
li,menu__item,AZZA,,
li,menu__item,BANGHO,,
li,menu__item,BIOSTAR,,
li,menu__item,BROTHER,,
li,menu__item,CompuCordoba,,
li,menu__item,COOLER MASTER,,
li,menu__item,CORSAIR,,
li,menu__item,CRUCIAL,,
li,menu__item,CX,,
li,menu__item,DELL,,
li,menu__item,DELTA,,
li,menu__item,DURACELL,,
li,menu__item,Energizer,,
li,menu__item,EPSON,,
li,menu__item,EZVIZ,,
li,menu__item,FORZA,,
li,menu__item,GAMEMAX,,
li,menu__item,GARMIN,,
li,menu__item,Gateway by Acer,,
li,menu__item,GENIUS,,
li,menu__item,GFAST,,
li,menu__item,GIGABYTE,,
li,menu__item,Golden Memory,,
li,menu__item,GOOGLE,,
li,menu__item,GX GAMING,,
li,menu__item,HIKVISION,,
li,menu__item,Hilook,,
li,menu__item,HyperX,,
li,menu__item,Id-Cooling,,
li,menu__item,INTEL,,
li,menu__item,JBL,,
li,menu__item,KINGSTON,,
li,menu__item,KlipXtreme,,
li,menu__item,LENOVO,,
li,menu__item,LEXAR,,
li,menu__item,LG,,
li,menu__item,LITEON,,
li,menu__item,LOGITECH,,
li,menu__item,LYONN,,
li,menu__item,MAGNUMTECH,,
li,menu__item,Marca de prueba,,
li,menu__item,MARKVISION,,
li,menu__item,MARVO,,
li,menu__item,MAXTOR,,
li,menu__item,MAX-YOU,,
li,menu__item,MERCUSYS,,
li,menu__item,MICROSOFT,,
li,menu__item,MOTOROLA,,
li,menu__item,MSI,,
li,menu__item,NETAC,,
li,menu__item,NETMAK,,
li,menu__item,NEXXT,,
li,menu__item,NISUTA,,
li,menu__item,NOGA,,
li,menu__item,Nvidia Geforce,,
li,menu__item,PANTUM,,
li,menu__item,PATRIOT,,
li,menu__item,PCBOX,,
li,menu__item,PHILIPS,,
li,menu__item,PNY,,
li,menu__item,PowerColor,,
li,menu__item,PRIMUS,,
li,menu__item,Radeon Amd,,
li,menu__item,RAPTOR,,
li,menu__item,RAYOVAC,,
li,menu__item,RAZER,,
li,menu__item,REDRAGON,,
li,menu__item,ROKU,,
li,menu__item,SAMSUNG,,
li,menu__item,SANDISK,,
li,menu__item,SEAGATE,,
li,menu__item,SHENLONG,,
li,menu__item,SONY,,
li,menu__item,SURELECTRIC,,
li,menu__item,SYX,,
li,menu__item,T-DAGGER,,
li,menu__item,TENDA,,
li,menu__item,THERMALTAKE,,
li,menu__item,TOSHIBA,,
li,menu__item,TP-LINK,,
li,menu__item,TRUST,,
li,menu__item,TRV,,
li,menu__item,TT ESPORTS,,
li,menu__item,Verbatim,,
li,menu__item,VERICO,,
li,menu__item,VSG,,
li,menu__item,WACOM,,
li,menu__item,WAVLINK,,
li,menu__item,WESTERN DIGITAL,,
li,menu__item,XIAOMI,,
li,menu__item,Xtech,,
li,footer-links__item,PROMO,,
a,menu__item-link,Cable Datos,,
a,menu__item-link,Cable Ethernet,,
a,menu__item-link,Cable HDMI,,
a,menu__item-link,Cable Power,,
a,menu__item-link,Cable USB,,
a,menu__item-link,Cable VGA,,
a,menu__item-link,Disco Mecánico  (HDD),,
a,menu__item-link,Disco Solido (SSD),,
div,departments__submenu departments__submenu--type--menu,Papelería,,
a,menu__item-link,Resmas,,
div,menu menu--layout--classic,Adata,,
li,menu__item,Asus,,
li,menu__item,Bangho,,
li,menu__item,BKT,,
li,menu__item,Creality,,
li,menu__item,Dell,,
li,menu__item,Genius,,
li,menu__item,Gigabyte,,
li,menu__item,Hp,,
li,menu__item,Kingston,,
li,menu__item,Klip Xtreme,,
li,menu__item,Lenovo,,
li,menu__item,Logitech,,
li,menu__item,msI,,
li,menu__item,Netmak,,
li,menu__item,Nisuta,,
li,menu__item,Nvidia GeForce,,
li,menu__item,Office,,
li,menu__item,Shure,,
li,menu__item,Tp-Link,,
li,menu__item,Western Digital,,
li,menu__item,Xiaomi,,
li,menu__item,XO,,
li,menu__item,XPG,,
h5,footer-contacts__title,Macro Insumos,,
ul,footer-links__list,Impresoras 3D,,
li,footer-links__item,PC de Escritorio,,
li,footer-links__item,Botella de Tinta,,
li,footer-links__item,Cartuchos Alternativos,,
li,footer-links__item,Cartuchos Originales,,
div,departments__body,Joysticks/Accesorios Juegos PS4 Consolas Tarjetas psn dolares;,,
div,departments__submenu departments__submenu--type--menu,PLAYSTATION 4 🎮,,
a,menu__item-link,Joysticks/Accesorios,,
a,menu__item-link,Tarjetas psn dolares,,
div,departments__submenu departments__submenu--type--menu,PLAYSTATION 5 🎮,,
div,departments__submenu departments__submenu--type--menu,NINTENDO SWITCH 👾,,
a,menu__item-link,Joysticks y accesorios,,
a,menu__item-link,Juegos SWITCH,,
a,menu__item-link,amiibo,,
a,menu__item-link,Fundas traveler,,
div,departments__submenu departments__submenu--type--menu,HEADSET 🎧,,
a,menu__item-link,HYPERX,,
a,menu__item-link,SADES,,
a,menu__item-link,TURTLE BEACH,,
a,menu__item-link,HAVIT,,
a,menu__item-link,THERMALTAKE TT SPORT,,
div,departments__submenu departments__submenu--type--menu,MOUSE 🖱,,
div,departments__submenu departments__submenu--type--menu,TECLADOS ⌨,,
div,departments__submenu departments__submenu--type--menu,ACCESORIOS PC 🖥,,
a,menu__item-link,MEMORIAS & SD 💽,,
a,menu__item-link,MIC 🎙,,
a,menu__item-link,PARLANTES 🔊,,
a,menu__item-link,WEBCAM 💻,,
div,departments__submenu departments__submenu--type--menu,COLECCIONABLES &  MERCHANDISIG,,
a,menu__item-link,Figuras de coleccion,,
a,menu__item-link,Funko pop,,
a,menu__item-link,Mochilas y accesorios,,
a,menu__item-link,Remeras,,
a,menu__item-link,Juegos de mesa,,
a,menu__item-link,Merchandising Playstation,,
div,menu menu--layout--classic,Hyperx,,
li,menu__item,Nintendo Switch,,
li,menu__item,Razer,,
li,menu__item,Redragon,,
li,menu__item,Trust,,
li,footer-links__item,NINTENDO SWITCH 2 👾👾,,
li,footer-links__item,PLAYSTATION 3 🎮,,
li,footer-links__item,CARTAS POKEMON TCG,,
li,footer-links__item,MOUSE PAD 🖱,,
li,footer-links__item,PLAYSTATION MERCHANDISING OFICIAL,,
div,wa__member_duty,2213193995,,
div,departments__submenu departments__submenu--type--menu,PERIFERICOS,,
a,menu__item-link,JOYSTICK,,
a,menu__item-link,KIT GAMING,,
a,menu__item-link,KIT OFICINA,,
a,menu__item-link,MICROFONO,,
a,menu__item-link,MONITORES,,
a,menu__item-link,MOUSES,,
a,menu__item-link,PADS Y OTROS,,
a,menu__item-link,WEB CAM,,
div,departments__submenu departments__submenu--type--menu,VIDEOJUEGOS Y CONSOLAS,,
a,menu__item-link,CONSOLAS RETROS,,
a,menu__item-link,JUEGO NINTENDO SWITCH,,
a,menu__item-link,JUEGO PS4,,
a,menu__item-link,JUEGO PS5,,
a,menu__item-link,PREVENTAS,,
div,departments__submenu departments__submenu--type--menu,BIJOUTERIE,,
a,menu__item-link,ANILLOS,,
a,menu__item-link,AROS,,
a,menu__item-link,COLGANTES,,
a,menu__item-link,PINES,,
a,menu__item-link,PULSERAS,,
a,menu__item-link,VINCHAS,,
div,departments__submenu departments__submenu--type--menu,COLECCIONABLES,,
a,menu__item-link,CARTAS POKEMON,,
a,menu__item-link,FIGURAS DE ACCION,,
a,menu__item-link,FIGURAS DE TERROR,,
a,menu__item-link,FUNKO POP,,
div,menu menu--layout--classic,AEROCOOL,,
li,menu__item,AMAZFIT,,
li,menu__item,ASTRO,,
li,menu__item,BLUE,,
li,menu__item,COCA-COLA,,
li,menu__item,COLMI,,
li,menu__item,DYNACOM,,
li,menu__item,GAME PRO,,
li,menu__item,GLORIOUS,,
li,menu__item,GTC,,
li,menu__item,HARMAN,,
li,menu__item,HAYLOU,,
li,menu__item,KODAK,,
li,menu__item,PANTER,,
li,menu__item,STEELSERIES,,
li,menu__item,WESDAR,,
li,menu__item,XTRIKE ME,,
div,footer-contacts__text,La mejor tienda de videojuegos !,,
li,footer-links__item,MERCHANDASING,,
li,footer-links__item,PC GAMER Y COMPONENTES,,
li,footer-links__item,SILLA GAMER,,
div,departments__body,Coolers Coolers CPU Discos Rígidos HDD Discos Sólidos SSD Fuentes Gabinetes Memorias RAM Watercooler,,
a,menu__item-link,Coolers CPU,,
a,menu__item-link,Discos Rígidos HDD,,
a,menu__item-link,Memorias RAM,,
a,menu__item-link,Watercooler,,
a,menu__item-link,Pasta Térmica,,
a,menu__item-link,NVIDIA,,
a,menu__item-link,Joystick,,
a,menu__item-link,Mouse Pad,,
a,menu__item-link,Cámaras,,
a,menu__item-link,Volantes,,
a,menu__item-link,Notebook,,
a,menu__item-link,PC Armadas,,
li,menu__item,Aerocool,,
li,menu__item,Corsair,,
li,menu__item,T-Dagger,,
li,menu__item,Viewsonic,,
h5,footer-contacts__title,HydraXtreme,,
div,footer-contacts__text,Si sos gamer,sabemos lo que queres.,
li,footer-links__item,Funko Pop,,
div,departments__submenu departments__submenu--type--menu,Componentes PC,,
a,menu__item-link,Discos Mecánicos HDD,,
a,menu__item-link,Lectoras,,
a,menu__item-link,Memorias RAM DDR4,,
a,menu__item-link,Memorias RAM DDR5,,
a,menu__item-link,Motherboard AMD,,
a,menu__item-link,Motherboard Intel,,
a,menu__item-link,Placas de Expansión,,
a,menu__item-link,Placas de Sonido,,
a,menu__item-link,Placas de Vídeo,,
a,menu__item-link,Procesadores AMD,,
a,menu__item-link,Procesadores Intel,,
div,departments__submenu departments__submenu--type--menu,Accesorios de Celulares,,
a,menu__item-link,Auriculares Celular,,
a,menu__item-link,Discos Externos HDD,,
a,menu__item-link,Discos Externos SSD,,
a,menu__item-link,Memorias SD y MicroSD,,
div,departments__submenu departments__submenu--type--menu,Audio,,
a,menu__item-link,Base p/ Notebook,,
a,menu__item-link,Kit Mouse + Teclado,,
a,menu__item-link,Mouse PAD,,
div,menu menu--layout--classic ,PC Diseño Gráfico,,
li,menu__item,PC Domésticas,,
li,menu__item,PC GAMER,,
li,menu__item,PC Oficina,,
li,menu__item,PC Programación,,
h5,footer-contacts__title,Casa Tecno Argentina,,
div,footer-contacts__text,Casa de Computación,,
Venta de PC,Notebooks,Rigs de Minería,,
li,footer-links__item,Accesorios y Adaptadores,,
li,footer-links__item,Combos de Actualización,,
li,footer-links__item,Estabilizadores y UPS,,
li,footer-links__item,Impresión,,
div,departments__body,ALFOMBRAS,,
div,departments__submenu departments__submenu--type--menu,AURICULAR GAMER,,
a,menu__item-link,PARA CONSOLAS PS4-PS5-SWITCH-XBOX,,
a,menu__item-link,PARA PC,,
div,departments__submenu departments__submenu--type--menu,AURICULAR PARA CELULAR,,
a,menu__item-link,CON CABLE,,
a,menu__item-link,INALAMBRICO,,
div,departments__submenu departments__submenu--type--menu,CHICHES PARA TU SETUP,,
a,menu__item-link,POSA JOYSTICK,,
a,menu__item-link,VELADORES,,
div,departments__submenu departments__submenu--type--menu,COMPONENTES PC,,
a,menu__item-link,COOLER - DISIPADOR,,
a,menu__item-link,DISCOS,,
a,menu__item-link,FUENTES,,
a,menu__item-link,GABINETES,,
a,menu__item-link,MEMORIAS RAM,,
a,menu__item-link,MICROPROCESADOR,,
a,menu__item-link,MOTHERBOARD,,
a,menu__item-link,PLACA DE VIDEO,,
div,departments__submenu departments__submenu--type--menu,INDUMENTARIA,,
a,menu__item-link,REMERAS,,
div,departments__submenu departments__submenu--type--menu,NINTENDO,,
div,departments__submenu departments__submenu--type--menu,PERIFÉRICOS PC,,
div,departments__submenu departments__submenu--type--menu,PS4,,
a,menu__item-link,CONSOLA,,
a,menu__item-link,JUEGOS DIGITALES,,
a,menu__item-link,JUEGOS FISICOS SELLADOS,,
a,menu__item-link,JUEGOS SEMI NUEVOS,,
a,menu__item-link,JUEGOS FISICOS,,
h5,footer-contacts__title,Epocas Videogames,,
li,footer-links__item,CABLES-CARGADORES,,
li,footer-links__item,COMICS,,
div,departments__body,Adaptadores WiFi Almacenamiento Convertidores TV Estabilizadores y UPS;,,
a,menu__item-link,Adaptadores WiFi,,
a,menu__item-link,Convertidores TV,,
a,menu__item-link,Alcatel,,
a,menu__item-link,Apple,,
a,menu__item-link,Motorola,,
a,menu__item-link,Coolers y Disipadores,,
a,menu__item-link,Joysticks y Volantes,,
h5,footer-contacts__title,GZ Tienda,,
div,footer-contacts__text,Somos la Tienda de Computación dedicada a satisfacer a cualquier jugador de PC,Playstation,Nintend
li,footer-links__item,Financiación y Pago con USD y USDT,,
div,wa__member_status,Lunes a Viernes 09:30 / 18:30,,
div,wa__member_name,Llamadas,,
a,menu__item-link,Cooler Cpu,,
a,menu__item-link,Memoria Ram Notebook,,
a,menu__item-link,Memorias Ram Pc,,
a,menu__item-link,Adaptador Red,,
a,menu__item-link,Routers,,
div,departments__submenu departments__submenu--type--menu,Hogar,,
a,menu__item-link,Aspiradoras,,
a,menu__item-link,Freidoras de Aire,,
a,menu__item-link,Pavas Electricas,,
a,menu__item-link,Discos externos,,
a,menu__item-link,Pad,,
a,menu__item-link,WebCam,,
h5,footer-contacts__title,HF TECNOLOGIA,,
li,footer-links__item,Corporativo,,
li,footer-links__item,Otros,,
li,footer-links__item,Pc Armadas,,
div,wa__member_name,VENTAS,,
div,wa__member_name,CORPORATIVO HF,,
div,departments__submenu departments__submenu--type--menu,Juegos y Consolas,,
a,menu__item-link,Playstation Plus y PSN Cards,,
a,menu__item-link,Juegos Fisicos PS4,,
a,menu__item-link,Juegos Fisicos PS5,,
a,menu__item-link,Juegos Fisicos Nintendo 3DS,,
a,menu__item-link,Juegos Fisicos Nintendo Switch,,
a,menu__item-link,Juegos Digitales PS3,,
a,menu__item-link,Juegos Digitales PS4,,
a,menu__item-link,Juegos Digitales PS5,,
a,menu__item-link,Joysticks y Accesorios,,
div,departments__submenu departments__submenu--type--menu,Perifericos PC,,
a,menu__item-link,Headset,,
a,menu__item-link,Mouse Pads,,
a,menu__item-link,Webcam,,
a,menu__item-link,Joysticks PC,,
a,menu__item-link,Butacas,,
a,menu__item-link,Escritorios,,
a,menu__item-link,Procesadores Amd,,
a,menu__item-link,Disco Hdd,,
a,menu__item-link,Disco Ssd,,
a,menu__item-link,Placas de video,,
div,departments__submenu departments__submenu--type--menu,PELU GAMER,,
a,menu__item-link,Sir Fausto,,
div,departments__submenu departments__submenu--type--menu,Camara de Seguridad,,
a,menu__item-link,Camaras de Exterior,,
a,menu__item-link,Camaras de Interior,,
div,departments__submenu departments__submenu--type--menu,Gadgets,,
a,menu__item-link,Lifestyle,,
a,menu__item-link,Smartwatches,,
div,departments__submenu departments__submenu--type--menu,Iluminacion,,
a,menu__item-link,Philips Hue,,
div,departments__submenu departments__submenu--type--menu,Accesorios telefonía,,
a,menu__item-link,Fundas Iphone,,
a,menu__item-link,Powerbanks,,
a,menu__item-link,Articulos para el auto,,
a,menu__item-link,Proteccion de pantalla,,
div,departments__submenu departments__submenu--type--menu,Articulos Geek,,
a,menu__item-link,Mochilas y Cartucheras,,
a,menu__item-link,Cuadros 3D,,
a,menu__item-link,Cubo Mágico,,
a,menu__item-link,Tazas y Vasos,,
a,menu__item-link,TvBox - Adornos Pixel,,
a,menu__item-link,Billeteras,,
a,menu__item-link,Gorras,,
a,menu__item-link,Llaveros y Accesorios,,
a,menu__item-link,Medias,,
div,departments__submenu departments__submenu--type--menu,Coleccionables,,
a,menu__item-link,Cartas Single,,
a,menu__item-link,Juguetes,,
a,menu__item-link,Llaveros,,
a,menu__item-link,Peluches,,
li,menu__item,Alienware,,
li,menu__item,Astro,,
li,menu__item,Cooler Master,,
li,menu__item,Ducky Channel,,
li,menu__item,elgato,,
li,menu__item,GTX GeForce Nvidia,,
li,menu__item,Microsoft XBOX,,
li,menu__item,Phillips,,
li,menu__item,PowerA,,
li,menu__item,Raidmax,,
li,menu__item,Sades,,
li,menu__item,Sony,,
li,menu__item,SOUL,,
li,menu__item,Steelseries,,
li,menu__item,Thermaltake,,
li,menu__item,Tp-link,,
h5,footer-contacts__title,E11even Games,,
li,footer-links__item,Juegos Seminuevos,,
li,footer-links__item,2X1 DIGITALES PS4/PS5,,
li,footer-links__item,POKE OFERTAS,,
div,wa__member_name,Reserva tu turno en la pelu gamer!,,
a,menu__item-link,Smartbands,,
div,departments__submenu departments__submenu--type--menu,Audio y video,,
div,menu menu--layout--classic,Amazfit,,
li,menu__item,Amazon,,
li,menu__item,Etheos,,
li,menu__item,Gloa,,
li,menu__item,Imilab,,
li,menu__item,IRobot,,
li,menu__item,Ledger,,
li,menu__item,Smartlife,,
li,menu__item,Sony PlayStation,,
li,menu__item,Udfine,,
li,menu__item,Vonne,,
h5,footer-contacts__title,Intecnova,,
